Month,Year,Reason,Value
Dec,25,income,1300
Dec,25,double sal,2700
Dec,25,Loan,-1000
Dec,25,Canada Visit,-2000
Dec,25,clothes,-1000
Jan,26,costs,0
Feb,26,income,900
Mar,26,house,-340
Mar,26,TV,-80
Mar,26,gym,-45
Mar,26,Other,-100
Mar,26,food,-300
Mar,26,transpo,-100
Mar,26,Error,-290
Mar,26,income,2000
Apr,26,income,1500
Apr,26,IELTS,-290
May,26,income,1500
May,26,ABC,-290
May,26,expense,-200
Jun,26,income,4000
Jul,26,income,400
Aug,26,income,400
Sep,26,income,400
Oct,26,income,400
Nov,26,income,400
Dec,26,income,400
